iter,labeled,acc,macro_f1,cost_human,cost_llm
0,10,0.25,0.1,50.0,10.0
1,20,0.2063157894736842,0.1371865948580334,100.0,20.0
2,30,0.25026315789473685,0.11822083112712864,150.0,30.0
3,40,0.2798684210526316,0.1779107200631588,200.0,40.0
4,50,0.28671052631578947,0.19277176356159162,250.0,50.0
5,60,0.26,0.21461022971094157,300.0,60.0
6,70,0.24578947368421053,0.10229849667076663,350.0,70.0
7,80,0.30644736842105263,0.19523696205635152,400.0,80.0
8,90,0.2565789473684211,0.1219006480080596,450.0,90.0
9,100,0.3430263157894737,0.23775042563790716,500.0,100.0
10,110,0.2528947368421053,0.1621939076204785,550.0,110.0
11,120,0.39276315789473687,0.2970063119505496,600.0,120.0
12,130,0.29828947368421055,0.21177185129827153,650.0,130.0
13,140,0.2735526315789474,0.17341156673993244,700.0,140.0
14,150,0.25342105263157894,0.13763028018220663,750.0,150.0
15,160,0.26473684210526316,0.16078832385407069,800.0,160.0
16,170,0.3609210526315789,0.2616739233598895,850.0,170.0
17,180,0.26973684210526316,0.22318826486313653,900.0,180.0
18,190,0.3461842105263158,0.30474165577055223,950.0,190.0
19,200,0.21855263157894736,0.1518826019270499,1000.0,200.0
20,210,0.24855263157894736,0.12873521139365113,1050.0,210.0
21,220,0.24776315789473685,0.17910981030500442,1100.0,220.0
22,230,0.24592105263157896,0.1101508471735491,1150.0,230.0
23,240,0.2388157894736842,0.12865722929233223,1200.0,240.0
24,250,0.48723684210526313,0.4312828832531853,1250.0,250.0
25,260,0.3175,0.21438730204537476,1300.0,260.0
26,270,0.25434210526315787,0.10992979930326453,1350.0,270.0
27,280,0.30394736842105263,0.21713665858624065,1400.0,280.0
28,290,0.3498684210526316,0.29576705328710123,1450.0,290.0
29,300,0.3332894736842105,0.25646420868527714,1500.0,300.0
30,310,0.3563157894736842,0.28040029226495156,1550.0,310.0
