iter,labeled,acc,macro_f1,cost_human,cost_llm
0,10,0.1986842105263158,0.18441326708029318,50.0,10.0
1,20,0.21039473684210527,0.08933644647708325,100.0,20.0
2,30,0.26907894736842103,0.18248350850613893,150.0,30.0
3,40,0.2810526315789474,0.23033973469685795,200.0,40.0
4,50,0.2505263157894737,0.10508176106266218,250.0,50.0
5,60,0.34657894736842104,0.2999892279635252,300.0,60.0
6,70,0.2294736842105263,0.11058317273619853,350.0,70.0
7,80,0.3828947368421053,0.2594226368501696,400.0,80.0
8,90,0.3192105263157895,0.25390101832260215,450.0,90.0
9,100,0.2511842105263158,0.1028565372934096,500.0,100.0
10,110,0.32763157894736844,0.2966062529463111,550.0,110.0
11,120,0.2769736842105263,0.16998758892759644,600.0,120.0
12,130,0.2863157894736842,0.19603556940017386,650.0,130.0
13,140,0.27210526315789474,0.16163380828787163,700.0,140.0
14,150,0.2425,0.16932309207876553,750.0,150.0
15,160,0.3589473684210526,0.2644988537862226,800.0,160.0
16,170,0.2986842105263158,0.22253301943118164,850.0,170.0
17,180,0.2955263157894737,0.21490546463195784,900.0,180.0
18,190,0.3525,0.24436224992073166,950.0,190.0
19,200,0.2565789473684211,0.1166038727195222,1000.0,200.0
20,210,0.2075,0.16464091205131973,1050.0,210.0
21,220,0.3775,0.31387220481644496,1100.0,220.0
22,230,0.36723684210526314,0.3023303196846573,1150.0,230.0
23,240,0.31842105263157894,0.2748593063060792,1200.0,240.0
24,250,0.26763157894736844,0.22180970164116998,1250.0,250.0
25,260,0.36039473684210527,0.24053013444015986,1300.0,260.0
26,270,0.2751315789473684,0.1754745829547798,1350.0,270.0
27,280,0.41,0.41444637492980013,1400.0,280.0
28,290,0.3543421052631579,0.2746259366029997,1450.0,290.0
29,300,0.44276315789473686,0.36135068777325846,1500.0,300.0
30,310,0.25105263157894736,0.11738398417573434,1550.0,310.0
