iter,labeled,acc,macro_f1,cost_human,cost_llm
0,10,0.24868421052631579,0.10046836904354388,50.0,10.0
1,20,0.21736842105263157,0.11786589011156386,100.0,20.0
2,30,0.2501315789473684,0.10039991079718696,150.0,30.0
3,40,0.2507894736842105,0.10238852360949958,200.0,40.0
4,50,0.2727631578947368,0.1663043652249116,250.0,50.0
5,60,0.2375,0.16157151030324757,300.0,60.0
6,70,0.30276315789473685,0.19711659542763435,350.0,70.0
7,80,0.2530263157894737,0.12465710382389492,400.0,80.0
8,90,0.4589473684210526,0.41167226153388115,450.0,90.0
9,100,0.34578947368421054,0.289117193265116,500.0,100.0
10,110,0.2636842105263158,0.16340948399903774,550.0,110.0
11,120,0.24736842105263157,0.1042430663509251,600.0,120.0
12,130,0.2801315789473684,0.17992818815811062,650.0,130.0
13,140,0.2638157894736842,0.15160614836332034,700.0,140.0
14,150,0.2775,0.17950113659594646,750.0,150.0
15,160,0.3613157894736842,0.24667514949331337,800.0,160.0
16,170,0.2786842105263158,0.24295011158163526,850.0,170.0
17,180,0.4560526315789474,0.420091865780128,900.0,180.0
18,190,0.33039473684210524,0.2695971407232549,950.0,190.0
19,200,0.2955263157894737,0.19222858035644735,1000.0,200.0
20,210,0.3307894736842105,0.24223151171457447,1050.0,210.0
21,220,0.25513157894736843,0.11418302609196224,1100.0,220.0
22,230,0.4236842105263158,0.37469222914338557,1150.0,230.0
23,240,0.2293421052631579,0.11197564715951236,1200.0,240.0
24,250,0.5080263157894737,0.4743215343008125,1250.0,250.0
25,260,0.31223684210526315,0.2916312588063364,1300.0,260.0
26,270,0.31934210526315787,0.2158645299521496,1350.0,270.0
27,280,0.3339473684210526,0.2652886998114637,1400.0,280.0
28,290,0.24157894736842106,0.14821646762259305,1450.0,290.0
29,300,0.3888157894736842,0.3231143368209768,1500.0,300.0
30,310,0.29973684210526313,0.1931261424870227,1550.0,310.0
