iter,labeled,acc,macro_f1,cost_human,cost_llm
0,10,0.2553947368421053,0.1736822809275251,50.0,10.0
1,20,0.3448684210526316,0.2903573517824991,100.0,20.0
2,30,0.25026315789473685,0.10414393286713206,150.0,30.0
3,40,0.24960526315789475,0.11120480868150395,200.0,40.0
4,50,0.24736842105263157,0.1538233157903042,250.0,50.0
5,60,0.2719736842105263,0.14496941517958128,300.0,60.0
6,70,0.2425,0.12398212625320994,350.0,70.0
7,80,0.2519736842105263,0.14138063309117632,400.0,80.0
8,90,0.25184210526315787,0.1502812306598141,450.0,90.0
9,100,0.26210526315789473,0.2238350933943054,500.0,100.0
10,110,0.2519736842105263,0.10807797426933682,550.0,110.0
11,120,0.2880263157894737,0.17892838439571218,600.0,120.0
12,130,0.28210526315789475,0.2594559498448108,650.0,130.0
13,140,0.3402631578947368,0.22854978561796274,700.0,140.0
14,150,0.29776315789473684,0.254797078853556,750.0,150.0
15,160,0.28157894736842104,0.24451258334566442,800.0,160.0
16,170,0.29026315789473683,0.17986746609510507,850.0,170.0
17,180,0.4605263157894737,0.3820674704302544,900.0,180.0
18,190,0.24986842105263157,0.1,950.0,190.0
19,200,0.2557894736842105,0.11354014157142829,1000.0,200.0
20,210,0.2443421052631579,0.12200865855313123,1050.0,210.0
21,220,0.25973684210526315,0.22103708906085356,1100.0,220.0
22,230,0.3068421052631579,0.19033782774485666,1150.0,230.0
23,240,0.32723684210526316,0.23573818594986784,1200.0,240.0
24,250,0.4119736842105263,0.3283688013294895,1250.0,250.0
25,260,0.4144736842105263,0.31397081806634797,1300.0,260.0
26,270,0.3335526315789474,0.2477959099137494,1350.0,270.0
27,280,0.420921052631579,0.3667717702197768,1400.0,280.0
28,290,0.28289473684210525,0.17543856529108784,1450.0,290.0
29,300,0.4532894736842105,0.3514143872242984,1500.0,300.0
30,310,0.3682894736842105,0.2751220000312526,1550.0,310.0
