iter,labeled,acc,macro_f1,cost_human,cost_llm
0,10,0.5080275229357798,0.35475257822647,50.0,10.0
1,20,0.5091743119266054,0.3373860182370821,100.0,20.0
2,30,0.4908256880733945,0.3292307692307692,150.0,30.0
3,40,0.5,0.34708569465911043,200.0,40.0
4,50,0.5091743119266054,0.3373860182370821,250.0,50.0
5,60,0.4908256880733945,0.3292307692307692,300.0,60.0
6,70,0.5114678899082569,0.459664515828732,350.0,70.0
7,80,0.5114678899082569,0.3893115715685437,400.0,80.0
8,90,0.49770642201834864,0.3604211880073949,450.0,90.0
9,100,0.47477064220183485,0.3965197313943438,500.0,100.0
10,110,0.5091743119266054,0.3373860182370821,550.0,110.0
11,120,0.5389908256880734,0.47803091217725363,600.0,120.0
12,130,0.44724770642201833,0.42540916821147146,650.0,130.0
13,140,0.48509174311926606,0.33051880654488625,700.0,140.0
14,150,0.5091743119266054,0.3373860182370821,750.0,150.0
15,160,0.5091743119266054,0.3435536637703592,800.0,160.0
16,170,0.4908256880733945,0.3292307692307692,850.0,170.0
17,180,0.4919724770642202,0.3336955528072872,900.0,180.0
18,190,0.4908256880733945,0.3292307692307692,950.0,190.0
19,200,0.4908256880733945,0.3292307692307692,1000.0,200.0
20,210,0.4908256880733945,0.3292307692307692,1050.0,210.0
21,220,0.5538990825688074,0.5238671407295947,1100.0,220.0
22,230,0.4908256880733945,0.3292307692307692,1150.0,230.0
23,240,0.49426605504587157,0.33670369929574184,1200.0,240.0
24,250,0.4908256880733945,0.3292307692307692,1250.0,250.0
25,260,0.4908256880733945,0.3292307692307692,1300.0,260.0
26,270,0.48623853211009177,0.453312957956193,1350.0,270.0
27,280,0.4908256880733945,0.3292307692307692,1400.0,280.0
28,290,0.4908256880733945,0.3292307692307692,1450.0,290.0
29,300,0.4954128440366973,0.3485775601540269,1500.0,300.0
30,310,0.4908256880733945,0.3292307692307692,1550.0,310.0
