iter,labeled,acc,macro_f1,cost_human,cost_llm
0,10,0.5493119266055045,0.4855457227138643,50.0,10.0
1,20,0.5080275229357798,0.33688212927756656,100.0,20.0
2,30,0.5091743119266054,0.3373860182370821,150.0,30.0
3,40,0.5011467889908257,0.4486812214126563,200.0,40.0
4,50,0.4701834862385321,0.34758866396761134,250.0,50.0
5,60,0.4919724770642202,0.45843444858018073,300.0,60.0
6,70,0.5091743119266054,0.3373860182370821,350.0,70.0
7,80,0.481651376146789,0.476070207528008,400.0,80.0
8,90,0.46559633027522934,0.4271148781629419,450.0,90.0
9,100,0.4908256880733945,0.3292307692307692,500.0,100.0
10,110,0.5091743119266054,0.3373860182370821,550.0,110.0
11,120,0.5011467889908257,0.47012207643082543,600.0,120.0
12,130,0.48853211009174313,0.3433690594377022,650.0,130.0
13,140,0.5091743119266054,0.3373860182370821,700.0,140.0
14,150,0.5091743119266054,0.3373860182370821,750.0,150.0
15,160,0.4724770642201835,0.3488142549157121,800.0,160.0
16,170,0.49311926605504586,0.35803752265216926,850.0,170.0
17,180,0.5091743119266054,0.3373860182370821,900.0,180.0
18,190,0.4896788990825688,0.3287143956889915,950.0,190.0
19,200,0.4908256880733945,0.3292307692307692,1000.0,200.0
20,210,0.5057339449541285,0.3479022040694517,1050.0,210.0
21,220,0.5091743119266054,0.3373860182370821,1100.0,220.0
22,230,0.5080275229357798,0.33688212927756656,1150.0,230.0
23,240,0.5034403669724771,0.3685756093482169,1200.0,240.0
24,250,0.5114678899082569,0.49169129720853855,1250.0,250.0
25,260,0.5091743119266054,0.3373860182370821,1300.0,260.0
26,270,0.4908256880733945,0.3292307692307692,1350.0,270.0
27,280,0.46674311926605505,0.4664898299130421,1400.0,280.0
28,290,0.5045871559633027,0.49824982018700553,1450.0,290.0
29,300,0.5619266055045872,0.5039995235117187,1500.0,300.0
30,310,0.5091743119266054,0.345565749235474,1550.0,310.0
