iter,labeled,acc,macro_f1,cost_human,cost_llm
0,10,0.5206422018348624,0.476960165308231,50.0,10.0
1,20,0.533256880733945,0.4142870109830262,100.0,20.0
2,30,0.4908256880733945,0.3292307692307692,150.0,30.0
3,40,0.4908256880733945,0.3292307692307692,200.0,40.0
4,50,0.5091743119266054,0.3373860182370821,250.0,50.0
5,60,0.5160550458715596,0.41794944797697003,300.0,60.0
6,70,0.4988532110091743,0.4032662942796786,350.0,70.0
7,80,0.533256880733945,0.47917226157614284,400.0,80.0
8,90,0.49311926605504586,0.34744683732899906,450.0,90.0
9,100,0.4713302752293578,0.38725869020127884,500.0,100.0
10,110,0.5068807339449541,0.46646480284127123,550.0,110.0
11,120,0.5091743119266054,0.3373860182370821,600.0,120.0
12,130,0.5091743119266054,0.3373860182370821,650.0,130.0
13,140,0.5263761467889908,0.41462526596047283,700.0,140.0
14,150,0.518348623853211,0.4054391023143458,750.0,150.0
15,160,0.48853211009174313,0.4466123303888535,800.0,160.0
16,170,0.5217889908256881,0.4645966555696089,850.0,170.0
17,180,0.5103211009174312,0.35776072471492465,900.0,180.0
18,190,0.5642201834862385,0.5238177355475464,950.0,190.0
19,200,0.4908256880733945,0.3292307692307692,1000.0,200.0
20,210,0.4919724770642202,0.3317314096409511,1050.0,210.0
21,220,0.5481651376146789,0.5462939486139284,1100.0,220.0
22,230,0.5091743119266054,0.3373860182370821,1150.0,230.0
23,240,0.5252293577981652,0.4377242822966507,1200.0,240.0
24,250,0.5424311926605505,0.5417749359603317,1250.0,250.0
25,260,0.47477064220183485,0.41998373416986173,1300.0,260.0
26,270,0.5011467889908257,0.3639401769739368,1350.0,270.0
27,280,0.5470183486238532,0.5470177528955803,1400.0,280.0
28,290,0.49426605504587157,0.3551669380356463,1450.0,290.0
29,300,0.551605504587156,0.551175204533637,1500.0,300.0
30,310,0.4908256880733945,0.3292307692307692,1550.0,310.0
