iter,labeled,acc,macro_f1,cost_human,cost_llm
0,10,0.4954128440366973,0.3391754850088184,50.0,10.0
1,20,0.4988532110091743,0.40195516829545047,100.0,20.0
2,30,0.4908256880733945,0.3292307692307692,150.0,30.0
3,40,0.5344036697247706,0.534246863686116,200.0,40.0
4,50,0.4908256880733945,0.3292307692307692,250.0,50.0
5,60,0.463302752293578,0.4431217147816404,300.0,60.0
6,70,0.5126146788990825,0.3899618602706489,350.0,70.0
7,80,0.5103211009174312,0.3539541557718234,400.0,80.0
8,90,0.4919724770642202,0.3317314096409511,450.0,90.0
9,100,0.5378440366972477,0.4329795936807695,500.0,100.0
10,110,0.5091743119266054,0.3394640897667339,550.0,110.0
11,120,0.49311926605504586,0.3342223634843533,600.0,120.0
12,130,0.47477064220183485,0.4468231278948651,650.0,130.0
13,140,0.5435779816513762,0.5426155533063428,700.0,140.0
14,150,0.4908256880733945,0.3292307692307692,750.0,150.0
15,160,0.5768348623853211,0.5765402609708432,800.0,160.0
16,170,0.4896788990825688,0.3287143956889915,850.0,170.0
17,180,0.44839449541284404,0.4455001553380089,900.0,180.0
18,190,0.4908256880733945,0.3292307692307692,950.0,190.0
19,200,0.5091743119266054,0.3373860182370821,1000.0,200.0
20,210,0.4908256880733945,0.3292307692307692,1050.0,210.0
21,220,0.4782110091743119,0.33104368043999105,1100.0,220.0
22,230,0.49426605504587157,0.34055283180969337,1150.0,230.0
23,240,0.5860091743119266,0.583696021603922,1200.0,240.0
24,250,0.49426605504587157,0.35340613886857175,1250.0,250.0
25,260,0.48853211009174313,0.3321105959127597,1300.0,260.0
26,270,0.5114678899082569,0.4544076608994507,1350.0,270.0
27,280,0.5114678899082569,0.4661746193243546,1400.0,280.0
28,290,0.4919724770642202,0.3336955528072872,1450.0,290.0
29,300,0.4908256880733945,0.3292307692307692,1500.0,300.0
30,310,0.49770642201834864,0.4322916666666667,1550.0,310.0
