iter,labeled,acc,macro_f1,cost_human,cost_llm
0,10,0.49311926605504586,0.3342223634843533,50.0,10.0
1,20,0.49770642201834864,0.4051285885167464,100.0,20.0
2,30,0.4908256880733945,0.3292307692307692,150.0,30.0
3,40,0.5309633027522935,0.5229523217163915,200.0,40.0
4,50,0.4908256880733945,0.3292307692307692,250.0,50.0
5,60,0.4461009174311927,0.44530650142566464,300.0,60.0
6,70,0.5160550458715596,0.4362990196078431,350.0,70.0
7,80,0.5103211009174312,0.41303898896366253,400.0,80.0
8,90,0.4908256880733945,0.3292307692307692,450.0,90.0
9,100,0.5596330275229358,0.5465713357166071,500.0,100.0
10,110,0.5080275229357798,0.33688212927756656,550.0,110.0
11,120,0.49311926605504586,0.3342223634843533,600.0,120.0
12,130,0.48623853211009177,0.40512258261001977,650.0,130.0
13,140,0.536697247706422,0.5364533990189267,700.0,140.0
14,150,0.4908256880733945,0.3292307692307692,750.0,150.0
15,160,0.5676605504587156,0.5649364828757197,800.0,160.0
16,170,0.4896788990825688,0.3287143956889915,850.0,170.0
17,180,0.4506880733944954,0.4438057192316655,900.0,180.0
18,190,0.4908256880733945,0.3292307692307692,950.0,190.0
19,200,0.5103211009174312,0.3440756223322641,1000.0,200.0
20,210,0.4908256880733945,0.3292307692307692,1050.0,210.0
21,220,0.47591743119266056,0.33536474516455606,1100.0,220.0
22,230,0.4908256880733945,0.3292307692307692,1150.0,230.0
23,240,0.5561926605504587,0.5553031311317063,1200.0,240.0
24,250,0.49426605504587157,0.33863841569854936,1250.0,250.0
25,260,0.48853211009174313,0.33016424162257496,1300.0,260.0
26,270,0.4805045871559633,0.472258628221931,1350.0,270.0
27,280,0.5011467889908257,0.43765705263626054,1400.0,280.0
28,290,0.4896788990825688,0.3287143956889915,1450.0,290.0
29,300,0.4908256880733945,0.3292307692307692,1500.0,300.0
30,310,0.48509174311926606,0.35045746754593343,1550.0,310.0
