iter,labeled,acc,macro_f1,cost_human,cost_llm
0,10,0.4919724770642202,0.3317314096409511,50.0,10.0
1,20,0.4988532110091743,0.3661430878783997,100.0,20.0
2,30,0.4988532110091743,0.36274258957314265,150.0,30.0
3,40,0.533256880733945,0.4546842997251173,200.0,40.0
4,50,0.5091743119266054,0.3373860182370821,250.0,50.0
5,60,0.4919724770642202,0.4179334993814632,300.0,60.0
6,70,0.5080275229357798,0.33688212927756656,350.0,70.0
7,80,0.4908256880733945,0.3292307692307692,400.0,80.0
8,90,0.5275229357798165,0.527164757412399,450.0,90.0
9,100,0.45871559633027525,0.33509098428453266,500.0,100.0
10,110,0.5389908256880734,0.5381136848762749,550.0,110.0
11,120,0.5194954128440367,0.3906298210589693,600.0,120.0
12,130,0.5068807339449541,0.4290239074158672,650.0,130.0
13,140,0.5091743119266054,0.34952593418851086,700.0,140.0
14,150,0.4908256880733945,0.3292307692307692,750.0,150.0
15,160,0.4908256880733945,0.3292307692307692,800.0,160.0
16,170,0.5688073394495413,0.5676040661085526,850.0,170.0
17,180,0.5263761467889908,0.507891935618312,900.0,180.0
18,190,0.5068807339449541,0.42561274509803926,950.0,190.0
19,200,0.5447247706422018,0.5251606531743147,1000.0,200.0
20,210,0.5126146788990825,0.34915659053590087,1050.0,210.0
21,220,0.5022935779816514,0.4323972475358006,1100.0,220.0
22,230,0.5779816513761468,0.5094143474777866,1150.0,230.0
23,240,0.4908256880733945,0.3292307692307692,1200.0,240.0
24,250,0.5779816513761468,0.5770917678812415,1250.0,250.0
25,260,0.5091743119266054,0.3373860182370821,1300.0,260.0
26,270,0.5172018348623854,0.46888884066462677,1350.0,270.0
27,280,0.5344036697247706,0.4737680745814308,1400.0,280.0
28,290,0.43463302752293576,0.4001755259849617,1450.0,290.0
29,300,0.5137614678899083,0.36505581315473123,1500.0,300.0
30,310,0.5091743119266054,0.3373860182370821,1550.0,310.0
