iter,labeled,acc,macro_f1,cost_human,cost_llm
0,10,0.4954128440366973,0.3676160337552743,50.0,10.0
1,20,0.5458715596330275,0.5430930454112417,100.0,20.0
2,30,0.5149082568807339,0.437766650661911,150.0,30.0
3,40,0.49426605504587157,0.35340613886857175,200.0,40.0
4,50,0.5034403669724771,0.37360374932603374,250.0,50.0
5,60,0.5091743119266054,0.3373860182370821,300.0,60.0
6,70,0.5321100917431193,0.49580232076958397,350.0,70.0
7,80,0.42775229357798167,0.42563046563046564,400.0,80.0
8,90,0.4954128440366973,0.35398706896551724,450.0,90.0
9,100,0.4908256880733945,0.3292307692307692,500.0,100.0
10,110,0.4908256880733945,0.3292307692307692,550.0,110.0
11,120,0.5022935779816514,0.35008071440838057,600.0,120.0
12,130,0.5103211009174312,0.3440756223322641,650.0,130.0
13,140,0.5206422018348624,0.3862877155172414,700.0,140.0
14,150,0.4919724770642202,0.3317314096409511,750.0,150.0
15,160,0.4908256880733945,0.3292307692307692,800.0,160.0
16,170,0.5011467889908257,0.3622033342581149,850.0,170.0
17,180,0.49770642201834864,0.4753511066177279,900.0,180.0
18,190,0.48623853211009177,0.3458189320258286,950.0,190.0
19,200,0.49426605504587157,0.35340613886857175,1000.0,200.0
20,210,0.5034403669724771,0.3389301402936835,1050.0,210.0
21,220,0.48853211009174313,0.3433690594377022,1100.0,220.0
22,230,0.49311926605504586,0.48333476321207963,1150.0,230.0
23,240,0.5619266055045872,0.5595540323263095,1200.0,240.0
24,250,0.5447247706422018,0.46138921950726197,1250.0,250.0
25,260,0.4919724770642202,0.33563904343414364,1300.0,260.0
26,270,0.4908256880733945,0.3292307692307692,1350.0,270.0
27,280,0.4954128440366973,0.3522026595349528,1400.0,280.0
28,290,0.4908256880733945,0.3292307692307692,1450.0,290.0
29,300,0.4908256880733945,0.3292307692307692,1500.0,300.0
30,310,0.4908256880733945,0.3292307692307692,1550.0,310.0
