iter,labeled,acc,macro_f1,cost_human,cost_llm
0,10,0.5091743119266054,0.3373860182370821,50.0,10.0
1,20,0.5068807339449541,0.41599381977671457,100.0,20.0
2,30,0.569954128440367,0.5247251908729795,150.0,30.0
3,40,0.4908256880733945,0.3292307692307692,200.0,40.0
4,50,0.5103211009174312,0.35586752125662785,250.0,50.0
5,60,0.4954128440366973,0.36924199880319064,300.0,60.0
6,70,0.49655963302752293,0.4950928215781317,350.0,70.0
7,80,0.5091743119266054,0.3373860182370821,400.0,80.0
8,90,0.5091743119266054,0.3373860182370821,450.0,90.0
9,100,0.4908256880733945,0.3292307692307692,500.0,100.0
10,110,0.5561926605504587,0.5546693446540765,550.0,110.0
11,120,0.5172018348623854,0.4612568111143886,600.0,120.0
12,130,0.5355504587155964,0.4964460635787462,650.0,130.0
13,140,0.5091743119266054,0.3373860182370821,700.0,140.0
14,150,0.5045871559633027,0.39580807205958773,750.0,150.0
15,160,0.5401376146788991,0.5375681569616972,800.0,160.0
16,170,0.5091743119266054,0.3373860182370821,850.0,170.0
17,180,0.4908256880733945,0.3292307692307692,900.0,180.0
18,190,0.5103211009174312,0.3399735878823331,950.0,190.0
19,200,0.41284403669724773,0.40533312022163615,1000.0,200.0
20,210,0.5,0.3616098114677574,1050.0,210.0
21,220,0.5149082568807339,0.35221938305102607,1100.0,220.0
22,230,0.5194954128440367,0.3716315106070117,1150.0,230.0
23,240,0.5103211009174312,0.3399735878823331,1200.0,240.0
24,250,0.5206422018348624,0.37939958592132506,1250.0,250.0
25,260,0.5091743119266054,0.3373860182370821,1300.0,260.0
26,270,0.5194954128440367,0.4925324625720329,1350.0,270.0
27,280,0.5068807339449541,0.4720419933315311,1400.0,280.0
28,290,0.5252293577981652,0.40952717423305657,1450.0,290.0
29,300,0.5114678899082569,0.3657207253355189,1500.0,300.0
30,310,0.5412844036697247,0.45198592257415793,1550.0,310.0
