iter,labeled,acc,macro_f1,cost_human,cost_llm
0,10,0.5504587155963303,0.5429182712879761,50.0,10.0
1,20,0.4908256880733945,0.3516598344184551,100.0,20.0
2,30,0.5091743119266054,0.3373860182370821,150.0,30.0
3,40,0.5091743119266054,0.3373860182370821,200.0,40.0
4,50,0.5080275229357798,0.33688212927756656,250.0,50.0
5,60,0.4908256880733945,0.3292307692307692,300.0,60.0
6,70,0.5091743119266054,0.3373860182370821,350.0,70.0
7,80,0.4908256880733945,0.3292307692307692,400.0,80.0
8,90,0.5584862385321101,0.541676052396262,450.0,90.0
9,100,0.5091743119266054,0.3373860182370821,500.0,100.0
10,110,0.49311926605504586,0.33810063541130003,550.0,110.0
11,120,0.4610091743119266,0.3362914979757085,600.0,120.0
12,130,0.5114678899082569,0.35060521512932935,650.0,130.0
13,140,0.481651376146789,0.35694894016915524,700.0,140.0
14,150,0.5447247706422018,0.5360850576838292,750.0,150.0
15,160,0.5022935779816514,0.40671344633193496,800.0,160.0
16,170,0.4954128440366973,0.34109565516057017,850.0,170.0
17,180,0.4793577981651376,0.3898413755263337,900.0,180.0
18,190,0.48509174311926606,0.35551264767416785,950.0,190.0
19,200,0.5252293577981652,0.4534554174841945,1000.0,200.0
20,210,0.5,0.47164734984296397,1050.0,210.0
21,220,0.4908256880733945,0.3292307692307692,1100.0,220.0
22,230,0.5160550458715596,0.4696261278141305,1150.0,230.0
23,240,0.4919724770642202,0.3317314096409511,1200.0,240.0
24,250,0.4954128440366973,0.4702630459874856,1250.0,250.0
25,260,0.4908256880733945,0.3292307692307692,1300.0,260.0
26,270,0.4908256880733945,0.3292307692307692,1350.0,270.0
27,280,0.4896788990825688,0.3383745811984757,1400.0,280.0
28,290,0.4541284403669725,0.4170206072046563,1450.0,290.0
29,300,0.4908256880733945,0.3292307692307692,1500.0,300.0
30,310,0.5103211009174312,0.3917527962506473,1550.0,310.0
